V201119,V201156,V201157,V201208,V201212,V201233,V201246,V201249,V201252,V201255,V201258,V201262,V201350,V201365,V201366,V201368,V201377,V201626,V201651
3,60,50,3,5,2,4,3,4,3,3,3,3,3,4,4,3,3,3
3,75,70,3,5,2,3,3,5,6,3,5,3,3,4,4,2,4,3
3,50,60,3,5,2,4,4,3,3,4,4,3,3,4,4,3,2,3
3,50,70,3,5,2,3,5,5,3,3,5,4,3,4,4,3,3,3
2,50,50,3,5,2,4,5,4,5,4,5,3,3,4,4,2,3,3
3,50,65,3,5,2,4,5,3,3,3,5,3,3,4,4,3,3,3
2,50,50,3,5,2,5,5,5,5,5,5,3,3,4,4,3,4,3
2,70,50,3,5,2,3,4,5,3,2,3,3,3,4,4,3,3,3
2,50,50,3,5,2,4,3,5,5,3,5,3,3,4,4,3,2,3
3,50,60,3,5,2,5,3,5,5,3,3,3,3,4,4,3,3,3
3,65,65,3,5,2,4,4,5,5,3,4,3,3,4,4,3,3,3
3,50,50,3,5,2,5,3,5,5,3,3,3,3,4,4,3,2,3
3,75,70,3,5,2,4,4,3,4,3,5,3,3,4,4,3,3,3
3,50,50,3,5,2,5,3,3,3,4,5,5,3,4,4,4,3,3
2,50,50,3,5,2,5,4,5,5,3,5,3,3,4,4,3,3,3
3,50,50,3,5,2,3,3,4,4,4,3,3,3,4,4,3,3,3
3,50,50,3,5,2,5,5,4,4,4,3,3,3,4,4,3,2,3
2,60,50,3,5,2,5,4,3,5,3,5,3,3,4,4,3,3,3
3,50,70,3,5,2,5,5,5,4,3,3,3,3,4,4,3,3,3
3,50,60,3,5,2,3,4,5,5,3,5,3,3,5,4,3,3,3
3,60,60,3,5,3,3,4,5,4,3,4,3,3,4,4,2,3,3
3,60,50,3,5,2,4,3,3,5,5,5,3,3,4,4,2,4,2
3,50,50,3,5,2,4,5,4,4,3,3,3,3,4,4,3,3,3
3,60,50,3,5,2,5,3,5,3,3,5,5,3,4,4,3,2,3
3,70,50,3,5,2,3,3,5,5,3,5,3,3,4,4,3,3,3
3,60,50,3,5,2,4,4,5,5,3,5,3,3,4,4,3,3,3
3,78,50,3,5,2,5,3,3,5,3,5,3,3,4,4,3,3,3
3,70,70,3,5,2,3,3,4,4,5,5,3,3,4,4,3,3,3
3,50,50,3,5,2,5,4,4,5,3,5,4,3,4,4,3,3,3
3,50,50,3,5,2,4,3,5,3,3,5,3,3,4,4,3,4,3
3,50,50,3,5,2,3,4,5,5,3,3,3,3,4,4,3,2,3
3,65,60,3,5,2,3,4,3,2,4,5,3,3,4,4,3,3,3
2,50,50,3,5,2,5,4,3,3,3,5,3,3,4,4,3,4,3
3,50,50,3,5,2,5,4,5,4,3,4,3,3,4,4,3,3,3
3,60,50,3,5,2,3,3,5,4,5,5,3,3,4,4,3,3,3
3,50,50,3,5,2,3,3,3,3,3,5,3,3,4,4,3,3,3
3,50,50,3,5,3,5,3,5,5,3,3,3,3,4,4,3,3,3
3,50,50,3,5,2,3,4,4,5,3,3,3,3,4,4,2,3,3
3,50,50,3,5,3,4,4,5,5,5,3,3,3,4,4,3,3,3
3,60,50,3,5,2,4,5,4,5,3,5,3,3,4,4,3,3,3
3,50,50,3,5,2,4,3,4,5,3,3,3,3,4,4,3,3,3
